llm_summary,LABEL
 Unable to set up 360WiFi pods and sign in to the 360WiFi app.,duplicate dtn issue
" - Customer's subscribed speed is 100m/100m in Salesforce, but it should be 40m/40m as per customer, customer portal, and Instalink. - The customer is being overcharged due to this incorrect subscription. - The request is to update the customer's subscription to 40m/40m at $40 per month to match the portal and correct the billing.",duplicate dtn issue
 HSI Fiber Installation Completed Frozen Running (Work Order: 02816916),duplicate dtn issue
" Discounts are incorrectly displayed as positive values in payment receipts for Fiber Internet, Instant Internet, and CHIA services. Specifically, promo discounts, ACP discounts, and loyalty discounts are affected. The issue is observed in the following accounts: - INC6406778 - INC6406778CTL - crow_medina@hotmail.com  Reference emails are attached.",duplicate dtn issue
" INC4771289: Karl Scherre's account is paused, preventing him from resuming service at his address: 20437 Black Tree Lane Estero, Florida 33928, DTN 1000256500.",duplicate dtn issue
 INC4796843: Salesforce agent UI issue. Work Order: 1000204888. Need to change status to Closed.,duplicate dtn issue
 Function Impacted: All Other Issues Case Number: 02765967,duplicate dtn issue
" PX is facing intermittent errors with the AppointmentSlots service call via QF. Discussions with relevant team members have taken place, and some examples have been shared during calls. The error messages indicate that the Apex CPU time limit has been exceeded. The requests contain details such as globalJobCodeOutput, earliestServiceableDate, add-on items, service type, qfTransactionId, polygon status, polygon ID, polygon ECD, drop length output, FSLLong, and FSLLat.",duplicate dtn issue
" **Summary:**  Three customers in Florida (Selina Thomas, Kfir Levy, and Logan Strickland) accidentally had their Q.com orders associated with an address in Minnesota (1361 LAKE DR W #228 Chanhassen MN US 55317) instead of their actual Florida addresses. This resulted in service interruptions for the person living at the Minnesota address (Julie May). The orders were created on different days and came from SFCC Integration, suggesting a potential issue with the integration process.",duplicate dtn issue
 A customer is unable to update their payment method to checking information in the Manage Portal. They input all required fields but receive a pop-up message asking them to recheck all information.,duplicate dtn issue
 **Function Impacted**: Instant Internet Ordering **Issue Category**: QF: Manage Portal **Case Number**: 01787771 **Service Address**: 23424 E Dorado Place Aurora Colorado 80016 **SFDC Cx Lead URL**: https://ctl-fiber.lightning.force.com/lightning/r/Lead/00QDo00000Fn5Y6MAJ/view,duplicate dtn issue
" Repair case A00652276 for pod replacement is stuck in ""ready to submit"" status. Despite intervention from John Shelburne to send out the pods, the root cause for the order submission failure needs to be investigated by the IT team.",duplicate dtn issue
" Function impacted: Orchestration plan. Issue category: QF: SOM. Work order: 02598584. Summary: Orchestration plan did not complete, preventing account status update to show abandoned activation. Consequently, payment refund is not being processed.",duplicate dtn issue
 A fatal failure occurred at the "WO and SA Updates" step for OP in work order A00705252. The issue category is "All Other Issues". The case number is 02786804. The Salesforce Customer Account URL is provided.,duplicate dtn issue
 Salesforce is experiencing system performance issues.,duplicate dtn issue
" Two work orders, A00653726 and A00522434, are affected by an unspecified issue. The issue category is ""All Other Issues"".",duplicate dtn issue
" **Function Impacted**: Salesforce agent UI **Issue Category**: All Other Issues **Work Order**: 02678152 **Summary**: No DTN assigned to work order or A order. The Orchestration Plan shows the ""Create Service Order (TMF 641)"" item as completed, but no DTN was assigned.",duplicate dtn issue
" A Salesforce agent UI is stuck at the step ""HSI Fiber Installation Completed"" due to a System.NullPointerException error in the WorkOrderTrigger: execution of AfterUpdate. The affected work order is 02492627, and the case number is not available. Order A00376200 is also not processing completely. The error occurred in line 1515, column 1 of Class.WorkOrderTriggerHandler.AfterUpdate and was caused by the execution of AfterUpdate. The URL for the Salesforce customer account is provided.",duplicate dtn issue
 Salesforce agent UI is impacted due to a fatal failure in 'SEND EMAIL CONFIRMATION' process. The issue falls under the category of QF: SOM RETRIED. The root cause needs to be investigated and resolved to prevent future occurrences.,duplicate dtn issue
" A customer is unable to change their internet plan's speed. They attempted to upgrade their plan through the website, but the purchase button is not working.",duplicate dtn issue
 Function Impacted: All Other Issues Case Number: 02798930,duplicate dtn issue
" Customer is experiencing issues while trying to update their payment method in the online portal. Despite entering all the required information and receiving a confirmation message, the payment method is not saved on their account or in Salesforce.",duplicate dtn issue
 Disconnect A orders are not completing even though the OP steps are complete. Orchestration Plan is still showing "in progress" status. A orders need to be set to "completed" status. JIRA ID QFCP-23951.,duplicate dtn issue
" **Summary:** Multiple functions failed to rollback after a Service Assurance (SA) cancellation, resulting in frozen orchestration plans. The root cause is unclear and may involve both SOM and VOM functions. Manual intervention is often required to resolve these issues. The system may need updated logic to prevent the cancellation of work orders without facilities.",duplicate dtn issue
" A QF Install's status was changed to Canceled on 4/11/24 at 11:02pm ET by user ""BatchJob Purge FSL"", but the expected FSL Install Cancelled Confirmation CE Callout did not occur. This issue may be specific to this user, as other jobs statused to Canceled by agents or user ""API Integration"" did receive the CE Callout.",duplicate dtn issue
 Automation is causing issues when processing FCST cases. It creates a task and changes the subtype without sending customer notifications. This skips steps and causes FLUP dates to be missed.,duplicate dtn issue
" Inaccurate Estimated Time of Restoral (ETRs) are being sent from Salesforce/GCP to Contact Engine for QF Proactive Outage notifications, particularly for Instant Internet customers. These ETRs are in GMT timezone instead of the customer's local time, leading to incorrect restoral times in outage communications (emails, SMS, robocalls). This can cause confusion and unnecessary contacts to the Success Team. The issue stems from the ""Time Zone"" field in the Community Members section of Salesforce defaulting to GMT for Instant Internet customers. To mitigate the impact, all active Salesforce QF accounts were updated to the correct local time zones on July 13th, and Contact Engine was set to suppress communications with GMT time zones. However, new Instant Internet accounts activated after July 14th won't receive outage notifications until the issue is resolved or periodic time zone corrections are performed.",duplicate dtn issue
 Function Impacted: Instant Internet Ordering Issue Category: All Other Issues Unable to Sign up for Instant Internet Salesforce Cx Lead URL: https://ctl-fiber.lightning.force.com/lightning/r/Lead/00QDo00000Fk60MMAR/view,duplicate dtn issue
" The customer's name update in the ""Update User Info"" box is not reflecting in the account, affecting multiple accounts. The issue persists despite a previous incident (INC6361111) and Jira bug (QFCP-21836) being raised. Further investigation and a root cause analysis are necessary to resolve the problem as it continues to impact customer accounts.",duplicate dtn issue
" Fiber Internet Ordering impacted due to Orchestration steps stuck in Frozen state. Work Order: 03349018, Case Number: 01815374",duplicate dtn issue
 Case notes entered by an agent on 9/27 have been overwritten by an automated note stating "After outage no sync to 6500 factory reset 6500 light will not change from red". This is causing issues with QA marking agents down for incorrect case notes.,duplicate dtn issue
 **Function Impacted**: Gray Screen for Quick Action Loyalty  **Issue Category**: All Other Issues  **Customer Request**: Reduce bill to save account.  **Problem**: Clicking on the "other quick action loyalty" loads a gray screen.  **Additional Information**: - Other accounts work fine. - Screenshot of the gray screen is attached. - Salesforce Cx Account URL: https://ctl-fiber.lightning.force.com/lightning/r/Account/001Do00000R8b93IAB/view,duplicate dtn issue
 **Function Impacted**: Instant Internet Ordering **Issue Category**: QF: Manage Portal **Case Number**: 01601447 **Summary**: Unable to activate Instant Internet,duplicate dtn issue
 **Function Impacted:** Update SmartNid Cache **Issue Category:** QF: Equipment **Equipment:** AXON1003B383MAC **Serial Number:** 58 13 D3 BB 3E 7C **Cx Account URL:** https://ctl-fiber.lightning.force.com/lightning/r/Account/001Do00000R7UehIAF/view,duplicate dtn issue
 Function Impacted: None Issue Category: All Other Issues Work Order: WO-02885565 dup dtn,duplicate dtn issue
 Salesforce Issues: System Performance - 26 accounts in closed status - Disconnect A order numbers still In Progress or Draft status - Should these orders be completed?,duplicate dtn issue
" Fiber Internet Ordering impacted. Work Order: 02094948, Case Number: 01359951.",duplicate dtn issue
" During an outage, the account did not display the Outage banner in the highlight panel as anticipated.",duplicate dtn issue
 Salesforce is experiencing system performance issues. Work Order 000000 is a duplicate of DTN 1500271406. The issue is related to enabled without install clear cache. Spencer Hardy's address is 438 N STONE MOUNTAIN DR SAINT GEORGE UT United States 84770 "UNIT 37". His account is pending activation. Jeremy Jensen's address is 438 N STONE MOUNTAIN DR SAINT GEORGE UT USA 84770 "UNIT 13" and his account is active. A new DTN should be issued to Spencer Hardy.,duplicate dtn issue
 **Function Impacted**: Instant Internet Ordering **Issue Category**: QF: Manage Portal CAN GET TO SIGN UP PAGE,duplicate dtn issue
 **SNID Update Needed:**  - Equipment: Axon1004FB63MAC - Serial Number: 58 13 D3 D5 69 78 - Customer Account URL: https://ctl-fiber.lightning.force.com/lightning/r/Account/001Do00000R7lCoIAJ/view,duplicate dtn issue
 Customer accidentally canceled their fiber internet account (Case Number: 00614284).,duplicate dtn issue
 A customer is attempting to order pods and was informed they would owe $260 per month.,duplicate dtn issue
 Incorrect number of Pods reflected on Equipment Account.,duplicate dtn issue
" Customer had SmartNID, account closed, signed up again and did not detect SmartNID.",duplicate dtn issue
 - Customer account closed after wife ordered service at same address (6130 SE AGNEW RD BELLEVIEW FL USA 34420). - Intent was to gain service at back building. - Account numbers: 1500028923 (closed) and 1500028923 (pending).,duplicate dtn issue
 Salesforce agent UI is impacted due to an issue in billing/payment. The loyalty discount details are available in the notes section of Work Order 00430957 and Case Number 574529.,duplicate dtn issue
 Brightspeed team is receiving a message to contact Quantum Fiber when customers are directed to them to sign up for services. Loop Qual needs to reflect Brightspeed special handling for these customers.,duplicate dtn issue
" - Unable to activate Instant Internet. - Modem showing red light. - Error message: ""No Internet, secured"".",duplicate dtn issue
 - Partner Portal is impacted. - The system won't pause the account.,duplicate dtn issue
 Partner Portal is impacted. Customer wants to resume service on or before July 27th. Case Number: 00435953,duplicate dtn issue
" Equipment customer has only 2 pods, not 3 as listed on subscription products and charges.",duplicate dtn issue
 Fiber Internet Ordering system is experiencing issues where customers are unable to cancel their service appointments.,duplicate dtn issue
 Duplicate account creation issue causing double payments in Fiber Internet Ordering.,duplicate dtn issue
 - Customer: Kyle Sparks - Issue: Unable to set up payment and enter credit card number. - Tried multiple devices. - Error message: "Missing or broken.",duplicate dtn issue
 Function impacted: Instant Internet Ordering Issue category: QF: Manage Portal Case number: 01612019 Summary: Customer is unable to access the Instant Internet Ordering portal due to missing username.,duplicate dtn issue
 **Function Impacted**: Salesforce agent UI **Issue Category**: Billing/Payment **Case Number**: 01421704 **Summary**: Invoice sent for 8/3/23 CTL ON account but not billed.,duplicate dtn issue
 Partner Portal is impacted. Customer paused service but account is still active.,duplicate dtn issue
" **Summary:**  - Salesforce agent UI impacted. - OP stuck on ""Wait for CV Disc Case"" step for order A00348937. - Case Number: 01441979. - Customer canceled Connected Voice on order A00348937, which did not complete in OrchestrionSFDC. - Account URL: https://ctl-fiber.lightning.force.com/lightning/r/vlocity_cmt__OrchestrationPlan__c/a4pDo000001aIVkIAM/view?ws=%2Flightning%2Fr%2FAccount%2F001Do00000JnaWvIAJ%2Fview",duplicate dtn issue
" Work Order A00689234 / A00673913 and Case Number 02578922 are cancelled, but the rollback process is not flowing through to move to abandoned and refund. This is causing the orchestration plan to freeze. The Salesforce Customer Account URL is provided for reference.",duplicate dtn issue
 **Function Impacted**: Suspend Non-Pay/Restore **Issue Category**: QF **Issue Description**: Unable to update the payment method. Error message: "Can't Change your card.",duplicate dtn issue
 A customer reported an issue with their fiber internet order. The work order number is A00431916 and the case number is 01748258. The specific problem is that the SmartNID status is enabled without installation. This issue falls under the "All Other Issues" category.,duplicate dtn issue
 Function Impacted: Instant Internet Ordering Issue Category: QF: Manage Portal Error: Unable to sign up for Instant Internet URL: https://ctl-fiber.lightning.force.com/lightning/r/Lead/00QDo00000CNrd6MAD/view,duplicate dtn issue
 **Summary:** Duplicate DTN 1500154962 assigned to working account. Requesting a new DTN.,duplicate dtn issue
 **Function Impacted**: Updating account information **Issue Category**: Billing/Payment **Customer Problem**: Customer receives "we encountered an error" when attempting to update account information. **Steps to Reproduce**:  1. Go to the update payment method page. 2. Enter each piece of information. 3. Receive error message. **Customer Account URL**: https://ctl-fiber.lightning.force.com/lightning/r/Account/001Do00000R7M7zIAF/view,duplicate dtn issue
 Function Impacted: Fiber Internet Ordering Issue Category: All Other Issues Work Order: 02956777 Case Number: 01673576  - Unable to view Orchestration Plan - Unable to ROP,duplicate dtn issue
 SmartNid enabled order triggered a Migration conflict case.,duplicate dtn issue
 Salesforce agent UI is impacted due to system performance issues. The customer order is stuck and frozen in the orchestration plan. The work order number is 01406379 and the case number is 01165252.,duplicate dtn issue
" Salesforce agent UI is impacted. A duplicate DTN, 1500210980, was found for work order 03361213 and case number 01815283 1500210980. A new DTN should be assigned to the customer.",duplicate dtn issue
" Customer requested cancellation of an order. The sales agreement was cancelled, but the activation order was completed. The analyst was unable to change the status due to the completed activation order. Unable to enter deactivation case because the account is in pending activation status. Need to change the account status to abandoned activation.",duplicate dtn issue
 **Summary:**  Customer is unable to disconnect their fiber internet service. Case number is 01602523.,duplicate dtn issue
 Salesforce agent UI is impacted by an issue where users are unable to cancel their accounts due to an unspecified error.,duplicate dtn issue
" A Salesforce agent UI issue has been identified, impacting all other issues. The work order A00444023 and case number 1811576 are associated with this issue. The order is complete, but the account status needs to be changed to active. An investigation is required as the OP fatally failed at the step ""Update O2- Migration"" for A00444023. The Salesforce customer account URL is provided for reference.",duplicate dtn issue
 **Function Impacted**: Suspend Non-Pay/Restore  **Issue Category**: QF  **Details**: Have to manually remove walled garden to restore service,duplicate dtn issue
" A customer, Samantha Sheley, received an email stating that her newly activated services were going to be disconnected. Upon investigation, it was discovered that a duplicate DTN, 1500169500, was linked to the disconnection order. This order was associated with a different account, James Broden (A00344159), and a different unit. The actual service activation for Samantha Sheley is linked to account A00344160 and is currently active.",duplicate dtn issue
 **Summary:**  Customer is unable to order WiFi 360 and pods through the Fiber Internet Ordering portal.,duplicate dtn issue
 A customer is experiencing issues while trying to upgrade to a faster service on the portal. The portal displays an error message stating "Site is broken" and prevents the customer from logging in. The customer account URL is provided.,duplicate dtn issue
 Payment method website is unreachable for a migrated and currently suspended account.,duplicate dtn issue
" **Function Impacted**: Instant Internet Ordering **Issue Category**: QF: Manage Portal **Summary**: Customer is unable to activate their account for instant internet. Troubleshooting steps such as clearing cache and using a different device have been performed, but the issue persists. The customer also recently had an abandoned account.",duplicate dtn issue
 The issue is related to Instant Internet Ordering. Two devices need to be enabled and 360 wifi boxes need to be unchecked in QF SF.,duplicate dtn issue
 **Summary:**  - Duplicate DTN: 1500184527 - Belongs to unit 206. - Sharaya Young's account has no activation date. - Please close her account completely so she can try to sign up again. - Check if she gets a new DTN this time.,duplicate dtn issue
" Function impacted: Instant Internet Ordering. Issue category: QF: Manage Portal. Work order: 00198427. Case number: 01664635. Problem: Unable to order services on any device. Error message: ""We're sorry, broken link."" Customer Lead URL: https://ctl-fiber.lightning.force.com/lightning/r/Lead/00QDo00000CPhzaMAD/view",duplicate dtn issue
 Salesforce Issues: Missing,duplicate dtn issue
 **Summary:**  - Work Order: A00424451 - Case Number: 1724050 - Account status needs to be changed to Active. - No obvious issues found in the OP. - SFDC Cx Acct URL: https://ctl-fiber.lightning.force.com/lightning/r/Account/001Do00000MWj72IAD/view,duplicate dtn issue
" **Function Impacted**: Billing/Payment **Issue**: Customer's account is closed, yet they are still being charged. Additionally, the order to disconnect has not been fully processed.",duplicate dtn issue
" **Summary:** Customer raised concerns about EULA agreement being accepted multiple times (3 times) in their account, leading to a 'walled garden' situation. Despite removing the issue, the customer fears it may reoccur. The case number associated with this issue is 01661445. Additional details and context can be found in the provided Salesforce Customer Account URL.",duplicate dtn issue
 Duplicate DTN issue while ordering Fiber Internet.,duplicate dtn issue
 **Function Impacted**: Equipment **Issue Category**: QF **Summary**: Shop option not visible in the portal to order more pods.,duplicate dtn issue
" User is unable to select the 360 WiFi product while trying to order it through the shop option on the portal. Instead, they encounter a blank white screen.",duplicate dtn issue
" Activation.q.com is inaccessible, impacting Instant Internet Ordering. Case number: 01610265. Refer to Salesforce Lead URL for more details.",duplicate dtn issue
 **Summary:**  Customer is unable to activate their service because the activation website (activate.q.com) is not loading.  **Case Details:**  - Function Impacted: Instant WiFi Ordering - Issue Category: System Performance - Case Number: 01623449,duplicate dtn issue
" Accounts 1000022163 and 15000145685 were merged due to a system glitch. The resident in Colorado, Daniel Nekich, is affected and his account was shut off. The other account is in Idaho under the name Annie Ngyuen. Nekich had no relation to this account and is frustrated about the situation. Escalation is requested to resolve the issue.",duplicate dtn issue
 **Summary:**  - Instant Internet Ordering is not working. - Case Number: 01499758.,duplicate dtn issue
 **Function Impacted**: N/A **Issue Category**: Billing/Payment **Work Order**: A00696036 **Case Number**: 02752234  **Summary**: Unable to access the portalSFDC Cx Acct URL (https://ctl-fiber.lightning.force.com/lightning/r/Account/001Do00000R8cDBIAZ/view) when signing into Q.com.,duplicate dtn issue
" **Summary:**  The Instant WiFi Ordering function is impacted due to a broken sign-up link in the Manage Portal. This issue affects both customers and technicians, even after swapping the ONT device. The work order number is 02873904 and the case number is 01660927.",duplicate dtn issue
 Salesforce agent UI impacted. Work order A00448137 needs to be cancelled as it is a duplicate of DTN.,duplicate dtn issue
 Salesforce agent UI impacted due to orchestration failure at "Send Order Confirmation Email" node. DTN and relevant information populated in service delivery after retrying.,duplicate dtn issue
 Salesforce agent UI impacted. QF: SOM Orchestration Items Create Legacy Case and Send Order Confirmation Email fatally failed.,duplicate dtn issue
 Customer is unable to activate their internet service due to a broken link on the activation website (activate.q.com). The issue persists across multiple devices.,duplicate dtn issue
" The MPAccount-Show controller is violating the maxStringLength quota. The quota api.session.maxStringLength warn threshold was exceeded 7 times, with a max actual of 1286. The issue is traced to multiple scripts and modules, including csrf.js, userLoggedIn.js, managePortalMiddleware.js, MPAccount.js, manageAccountPermitsHelper.js, and sessionStorage.js.",duplicate dtn issue
 **Summary:** Customer unable to sign in to account despite multiple password resets and deactivation/reactivation attempts.,duplicate dtn issue
 Customers have duplicate DTNs for different addresses and states. New DTNs are required. Refer to the attached document and pictures for more information.,duplicate dtn issue
 Customer is unable to downgrade internet service to 500 Mbps. The 'continue' button is not clickable when the 500 Mbps option is selected.,duplicate dtn issue
" **Function Impacted**: Instant Internet Ordering **Issue Category**: System Performance **Error**: ""Error due to internet connection"" and ""Too many submissions"" **Details**: - Customer attempts to set up an account and submit payment but encounters an error stating ""error due to internet connection"". - Tried using the link from an email, mobile data, and clearing cache but still receives the error. - After multiple attempts, the system displays ""too many submissions"" and prevents payment processing. **Location**: 188 E JEFFERSON ST, UNIT 1109 PHOENIX AZ 85004 USA",duplicate dtn issue
 **Function Impacted**: A orders - orchestration plan failure **Issue Category**: QF: SOM **Work Order**: 03242221,duplicate dtn issue
 **Function Impacted**: QF: Manage Portal **Issue Category**: Unable to sign up for duplicate accounts **Work Order**: a00694253 **Case Number**: 02647749,duplicate dtn issue
" **Function Impacted**: Equipment Orders **Issue Category**: QF **Summary**: Customer reported that two pods ordered online (A00630848 and A00627930) are showing in progress since February 17th and February 20th, but they have not received the pods yet.",duplicate dtn issue
 - Account activated without technician installation. - Address incorrectly flagged as SmartNID ready.,duplicate dtn issue
" There is a duplicate DTN 1500202148 for Ruben Chavez at 3770 W 24TH ST, Unit C14, GREELEY CO, United States, 80634, and Gene Moore at Unit G71 of the same address. A new DTN is needed for Ruben Chavez for installation provisioning.",duplicate dtn issue
 Function Impacted: SQE Issue Category: QF Summary: SQE failed to stamp addressid and created a case,duplicate dtn issue
" **Function Impacted**: Instant Internet Ordering **Issue Category**: All Other Issues **Work Order**: NA **Case Number**: 01633573 **Summary**: Unable to place an Instant Internet order at 511 S 4th Street, Minneapolis MN 55415 (unit 102).",duplicate dtn issue
 Urgent request to cancel service orders. Attached orders were meant to be canceled but deletion from QFSF did not result in SA cancellation. Cancellation of service orders is crucial to enable issuance of new orders.,duplicate dtn issue
 - Function Impacted: Unable to order at Q.com - Issue Category: Manage Portal - Work Order: 02788590 - Case Number: 02788590 - Unable to activate service - Went incognito and still not able to order - Screen attached,duplicate dtn issue
" Customer is experiencing coverage issues at home. They attempted to order additional pods through the q.com portal while connected to our wifi on both phone and computer, and also while on data connection on phone, but received an error message: ""Looks like we ran into a problem. While trying (rest is paraphrased) it seems we ran into an issue. Most likely cause is internet connection."" RTS orders need to be cleaned up.",duplicate dtn issue
" SA cancelled, account stuck as ""Pending Activation"".",duplicate dtn issue
 A customer reported an issue with activating Instant Internet. The case number is 01641811. The issue category is QF: Manage Portal. The customer's Lead URL is provided.,duplicate dtn issue
 **Function Impacted**: QF: SOM **Issue Category**: Work Order **Work Order**: A00682533 **Summary**:  - OP fatally failed at steps "WO and SA Updates" and "O2 Service Order Assign" for A00682533.  - Need steps completed for OP to process installation. - SFDC Cx Acct URL: https://ctl-fiber.lightning.force.com/lightning/r/Account/001Do00000R8Re1IAF/view,duplicate dtn issue
" A customer experienced issues with the DTN SNID Cache on multiple work orders. The same DTN was activated on different units, causing confusion and incorrect orders. Data cleanup is necessary to resolve the issue.",duplicate dtn issue
" Portal shows incorrect pending disconnect date as January 01, 1970. The deactivation case is created with case number 02380351 and work order 02380351 for March 11th. Please correct the deactivation date in the account. Account URL: https://ctl-fiber.lightning.force.com/lightning/r/Account/001Do00000Fin30IAB/view",duplicate dtn issue
 **Function Impacted:** Instant Internet Ordering **Issue Category:** All Other Issues **Case Number:** 01801660 **Summary:** Unable to order Instant Internet.,duplicate dtn issue
" Duplicate DTN 1500227612 assigned to customer's order, preventing installation progress. Fresh DTN needed to proceed.",duplicate dtn issue
 - Function Impacted: Not provided - Issue Category: All Other Issues - Work Order: * - Case Number: 02598235 - Summary: Disco order A00679330 is preventing the closure of an account. The account needs to be fully disconnected. - Additional Information:  - SFDC Cx Acct URL: https://ctl-fiber.lightning.force.com/lightning/r/Account/0013j000037NOf0AAG/view,duplicate dtn issue
" A customer is unable to order additional pods through the portal due to a technical issue. They encounter a blue line and a message prompting them to go back or refresh the page. The issue persists across multiple browsers and devices, including phones and laptops. The affected Salesforce Customer Account URL is provided.",duplicate dtn issue
 Function impacted: Instant Internet Ordering Issue category: QF: Manage Portal Case number: 01604692 Problem: Unable to sign up URL: https://ctl-fiber.lightning.force.com/lightning/r/Lead/00QDo00000CNVpvMAH/view,duplicate dtn issue
 **Function Impacted**: Instant Internet Ordering **Issue Category**: System Performance **Work Order**: None,duplicate dtn issue
" A customer reported an issue while signing up for a service using the Instant Internet Automation Tool. The issue causes the customer to be redirected back to the landing page after entering payment information. The customer has tried using different browsers, including Chrome, Brave, and Edge. The original incident (INC6447940) related to this issue has been resolved. It was found that the premise geolocation was incorrectly set to 0,0, which has been updated with the correct data.",duplicate dtn issue
 **Function Impacted**: Instant Internet Ordering **Issue Category**: QF: Manage Portal **Case Number**: 01619751 **Summary**: Unable to order Instant Internet service due to a generic failed to load error message after taking payment information.,duplicate dtn issue
" Update SNID Cache: - Work Orders: A00340945, A00340947 - Case Number: 01381676 - Customer order shows SNID Enabled - Previous customer used SmartNID - Need SNID cache fixed for customer to reorder with tech install",duplicate dtn issue
 Cx unable to order 360 Wifi. Issue Category: Manage Portal. Case Number: 02682919. Sub logs into their portal on q.com and goes to SHOP but they see no 360 Wifi option. Tech AD18979 Alex is helping customer with getting PODsSFDC. Cx Acct URL: https://ctl-fiber.lightning.force.com/lightning/r/Account/001Do00000JWPvgIAH/view,duplicate dtn issue
 **Function Impacted**: Instant Internet Ordering **Issue Category**: QF: Manage Portal **Summary**: Unable to order on activate.q.com.,duplicate dtn issue
" Customer is unable to login to the new manage portal. When she clicks on the button in the email to update her password, nothing happens.",duplicate dtn issue
 **Summary:** Customer Jordan reported not receiving a password reset email after updating his email. The support team checked the spam folder but found nothing. They need to validate if the email was generated and sent from the server to the customer. The Salesforce Customer Account URL is provided for reference.,duplicate dtn issue
" Salesforce agent UI is impacted. OP failed at ""Update IMPROV for SmartNID"" step. A00357381 account is still pending, while SA was completed.   URL: https://ctl-fiber.lightning.force.com/lightning/r/Account/001Do00000I8cntIAB/view",duplicate dtn issue
" - Order canceled, account status never updates to abandoned activation. - Routed order canceled, account status never updates to abandoned activation. - Orchestration says frozen.",duplicate dtn issue
" Two orders are mentioned. The second order is attempting a rollback, but deactivation has not occurred. The case number is 01378692 and the URL provided leads to a page to view the order.",duplicate dtn issue
 **Function Impacted**: Customers are unable to order pods. **Issue Category**: Equipment. **Specific Issue**: Customers are unable to add pods on the 360 WiFi App and web portal. **Customer Account URL**: https://ctl-fiber.lightning.force.com/lightning/r/Account/001Do00000R7SzxIAF/view,duplicate dtn issue
" Fiber Internet Ordering impacted. Work Order: A00457781, Case Number: 01830319. Duplicate DTN found. SmartNID Status Enabled without installation.",duplicate dtn issue
 Function impacted: QF: SOM Issue category: Work Order: 03274304 Summary: Place HSI Service in EULA WG Frozen,duplicate dtn issue
 Salesforce agent UI is impacted due to the failure of 'Send Confirm' email.,duplicate dtn issue
 **Summary:** The user is unable to log in for two days and is receiving an error message stating that the page is missing or broken. The issue is related to the Manage Portal function.,duplicate dtn issue
 **Function Impacted:** Instant Internet Ordering **Issue Category:** QF: Manage Portal **Case Number:** 01630952 **Summary:** Unable to activate Instant Internet service. Salesforce Case Lead record URL provided for reference.,duplicate dtn issue
" - Order A00656243A00656243 shows completed. - Services, subscription, and programming are still active. - OP shows completed but did not cancel the above.",duplicate dtn issue
" WO and SA updates repeatedly fail in orchestration, resulting in missing DTN updates.",duplicate dtn issue
 **Function Impacted**: Billing/Payment **Issue Category**: Unable to make a payment **Additional Details**:  - Migrated/suspended account - Salesforce Customer Account URL: https://ctl-fiber.lightning.force.com/lightning/r/Account/001Do00000R7xUjIAJ/view,duplicate dtn issue
" Fiber Internet Order impacted, stuck on ""Wait for ECD"" step. Work Order: 02646153 Case Number: 01598110 Missing DTN, ECD running. Needs DTN assignment.",duplicate dtn issue
 Fiber internet ordering is impacted due to orchestration failure. Work order 02090648 and case number 01357891 are affected. The order is in jeopardy status and facilities cannot be assigned. The issue occurred at step "O2 Service Order Assign" OrderA00337642. Investigation is required. The Salesforce customer account URL is provided.,duplicate dtn issue
" Equipment ordering issue: Customer is unable to successfully place an order for a new pod online through the account portal. Despite going through the process of adding the item to the cart and checking out, no confirmation email is received, and the order doesn't appear in their Salesforce account.",duplicate dtn issue
 - Function impacted: Fiber Internet Ordering - Issue category: Billing/Payment - Quoted $15 for WiFi Pod but didn't charge - Quote to bill comparison for AG failed,duplicate dtn issue
 An error message appears when attempting to sign up for service. The first and last name fields show an "invalid data" error. Additional details and a screenshot are available in the attached Salesforce case.,duplicate dtn issue
 **Function Impacted**: Salesforce agent UI **Issue Category**: Billing/Payment **Issue Description**: Service not restored after payment processed,duplicate dtn issue
 Function Impacted: QF: SOM Issue Category: Wait for Disconnect Order to Complete step not updating SF account status Work Order: 05232501 Case Number: 02608800,duplicate dtn issue
 A customer reported an issue with the Pause function on their account. They attempted to pause their account but received no confirmation or indication that the pause was successful. This has potentially affected multiple customers. Please investigate the issue and determine why the customer is unable to pause their account.  Account URL: https://ctl-fiber.lightning.force.com/lightning/r/Account/001Do00000R79rtIAB/view,duplicate dtn issue
" Instant 360 WiFi customers cannot choose same-day activation after 4 pm EST through Q.com. Instead, it offers the next day as the activation date, resulting in a negative customer experience. This issue was observed when checking availability and proceeding through the purchase process on Q.com at 4:12 pm MST, with the activation date set as 2/2/2024, despite the current date being 2/1/2024. This problem seems to occur specifically after 4 pm EST.",duplicate dtn issue
 Function Impacted: Unable to submit upgrade order Issue Category: Manage Portal - Buy Flow Customer getting broken page error after hitting submit on order to upgrade speed - Migrated account - SFDC Cx Acct URL: https://ctl-fiber.lightning.force.com/lightning/r/Account/001Do00000MU8BOIA1/view,duplicate dtn issue
 PARENT INC: Orchestration Plan "Send Order Confirmation Email" failed for multiple accounts. Investigate the issue.,duplicate dtn issue
 Customer canceled the account and there is no return tracking number to add the record that she already returned the pods.,duplicate dtn issue
" Salesforce agent UI issue reported. Work Order: 02272143, Case Number: 01838957. Customer cancelled but account status still shows as Pending Activation.",duplicate dtn issue
 Function Impacted: QF: SOM Issue Category: Duplicate DTN Work Order: A00446822,duplicate dtn issue
